assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,cycle_test_1,cycle_test_2,cycle_test_3,cat_1,cat_2,cat_3,attendance,lab_marks,risk_level
77,65,94,18,64,21,48,95,46,67,19,59,85,Medium Risk
80,78,31,30,16,40,22,29,32,35,41,98,49,Medium Risk
35,74,40,59,29,4,88,76,100,51,11,88,55,Medium Risk
49,7,75,59,52,41,33,17,97,52,100,96,8,Medium Risk
3,25,7,18,12,86,25,86,83,81,72,50,81,Medium Risk
1,50,71,48,20,80,46,78,34,49,22,76,49,Medium Risk
5,44,49,62,18,75,4,96,50,79,71,76,28,Medium Risk
53,43,91,82,52,86,89,20,17,40,95,60,38,Medium Risk
3,4,61,21,18,79,19,56,87,17,13,98,90,Medium Risk
53,69,83,23,56,66,5,22,71,21,90,54,99,Medium Risk
92,25,61,75,24,29,69,90,29,65,24,56,44,High Risk
62,67,6,29,85,56,58,44,43,20,76,68,16,High Risk
17,18,74,57,30,85,63,43,52,99,84,78,55,Medium Risk
89,83,83,30,80,72,17,81,9,43,30,64,97,Medium Risk
43,96,79,99,54,28,3,87,86,46,100,84,45,Medium Risk
33,19,3,63,22,36,16,46,51,38,53,96,66,Medium Risk
73,11,5,18,31,86,13,39,48,28,4,86,68,High Risk
61,46,57,47,61,12,77,50,10,53,12,61,13,High Risk
99,0,21,44,73,31,12,41,65,89,27,79,66,Medium Risk
13,89,25,99,9,45,6,6,57,84,42,69,22,High Risk
94,13,2,93,99,22,43,49,89,16,88,86,93,Medium Risk
47,63,40,54,71,44,14,47,35,79,98,52,60,Medium Risk
14,37,59,54,53,16,18,83,32,59,46,58,22,High Risk
71,36,13,96,51,84,62,90,46,30,70,90,26,Medium Risk
77,10,74,17,19,65,34,5,12,72,37,88,53,Medium Risk
86,99,81,62,31,100,80,90,39,94,95,75,9,Medium Risk
61,76,11,91,13,5,34,8,88,77,66,51,88,Medium Risk
39,2,86,46,49,17,18,56,67,48,61,72,76,Medium Risk
84,32,11,74,27,93,19,30,41,100,38,72,15,High Risk
79,5,12,56,52,21,99,20,18,1,36,70,40,High Risk
81,49,24,44,23,32,34,89,81,47,85,65,97,Medium Risk
52,9,44,32,78,29,31,39,100,13,7,58,54,High Risk
23,4,18,16,21,80,47,44,93,58,80,62,100,Medium Risk
25,22,54,69,29,31,43,76,18,96,51,77,60,Medium Risk
88,9,99,3,62,41,23,48,57,98,90,76,85,Medium Risk
59,43,44,19,3,77,60,86,22,57,32,100,80,Medium Risk
40,1,7,46,76,9,16,19,53,57,80,66,86,Medium Risk
28,12,92,90,58,35,70,100,79,50,41,87,99,Medium Risk
14,39,52,14,86,33,49,91,64,83,75,85,48,Medium Risk
44,1,54,69,7,72,64,16,11,1,26,50,72,High Risk
64,83,31,46,81,27,98,27,23,40,7,67,51,High Risk
88,64,50,77,11,10,31,40,33,82,22,100,1,High Risk
70,62,43,74,30,77,35,65,52,100,63,58,95,Medium Risk
8,100,81,8,77,38,12,24,7,81,92,62,49,Medium Risk
87,72,69,89,33,46,69,57,17,15,19,89,85,Medium Risk
0,16,17,15,81,18,57,40,56,3,15,94,42,High Risk
7,8,82,68,97,14,13,5,4,11,16,64,76,High Risk
87,74,21,60,74,27,36,74,25,28,79,92,7,High Risk
62,14,36,9,75,23,78,37,29,6,18,93,58,High Risk
10,23,95,49,48,71,67,5,53,13,7,95,64,Medium Risk
80,37,55,2,78,8,39,44,12,11,37,53,80,High Risk
7,34,58,76,56,46,58,74,82,98,37,82,11,Medium Risk
34,93,2,93,94,32,79,13,28,4,52,73,3,High Risk
34,94,27,69,92,61,91,65,2,80,92,85,76,Medium Risk
32,48,73,80,25,96,15,39,89,31,99,100,94,Low Risk
4,68,34,50,17,18,61,2,57,73,89,90,40,Medium Risk
40,61,60,18,95,66,3,98,75,42,30,59,6,High Risk
27,59,92,41,85,73,44,96,1,80,43,85,86,Medium Risk
6,49,53,34,37,39,89,23,74,68,59,69,87,Medium Risk
72,77,62,45,80,46,27,18,27,44,75,90,68,Medium Risk
71,74,78,25,86,64,95,17,81,8,16,94,68,Medium Risk
11,8,96,68,87,28,65,63,76,48,78,93,80,Medium Risk
33,33,6,92,49,49,30,87,100,32,72,60,29,Medium Risk
32,75,75,63,7,97,2,34,85,99,38,61,72,Medium Risk
47,98,48,36,40,12,7,61,75,99,41,67,5,High Risk
22,34,93,83,5,0,23,0,1,17,47,79,88,High Risk
61,0,84,48,68,33,14,99,100,8,11,93,18,High Risk
87,39,30,20,43,92,42,24,6,61,95,97,79,Medium Risk
36,63,57,73,63,47,30,44,25,56,88,86,84,Medium Risk
98,21,60,63,28,76,72,48,89,28,17,69,65,Medium Risk
43,59,23,4,27,47,44,97,87,77,78,74,9,Medium Risk
85,63,19,99,10,48,65,88,75,24,95,61,15,Medium Risk
90,92,36,69,64,63,7,15,15,14,5,70,36,High Risk
34,71,3,89,18,60,70,97,22,5,42,74,78,Medium Risk
64,10,91,3,8,28,56,92,39,41,34,60,76,Medium Risk
98,100,19,38,26,38,79,18,59,28,97,58,76,Medium Risk
100,13,59,34,33,87,98,22,72,78,53,99,31,Medium Risk
46,59,23,0,43,25,29,82,31,92,61,74,46,Medium Risk
77,29,49,23,67,16,73,24,14,3,68,84,71,Medium Risk
2,34,48,56,99,70,17,15,100,81,81,81,42,Medium Risk
0,84,50,99,81,12,68,53,12,56,15,98,81,Medium Risk
4,36,95,69,14,68,92,72,4,48,7,63,35,High Risk
89,4,35,40,50,25,38,0,74,43,88,50,25,High Risk
13,82,97,53,12,48,59,41,73,79,95,66,9,Medium Risk
26,77,99,45,82,66,97,18,51,74,89,74,30,Medium Risk
8,25,65,59,48,6,42,96,76,13,85,57,96,Medium Risk
78,61,78,59,69,57,44,33,40,2,30,54,28,High Risk
14,3,33,56,55,48,22,79,52,61,9,54,4,High Risk
89,88,35,30,75,52,68,54,49,63,55,90,76,Medium Risk
41,41,5,83,50,64,93,17,14,44,75,84,0,High Risk
76,88,38,23,36,61,5,33,6,81,91,68,86,Medium Risk
50,17,41,88,16,16,55,88,39,57,69,72,2,High Risk
62,39,57,35,57,42,3,44,27,19,19,58,66,High Risk
95,71,11,84,86,24,92,5,31,57,4,79,70,Medium Risk
51,38,2,29,89,2,22,20,98,88,22,99,99,Medium Risk
95,13,17,23,28,78,5,69,14,56,8,65,34,High Risk
3,31,39,29,32,28,31,95,99,76,57,82,14,Medium Risk
93,50,20,85,59,31,17,47,84,67,58,51,66,Medium Risk
100,37,14,91,90,25,14,38,69,77,92,63,92,Medium Risk
22,96,96,6,88,15,39,30,64,96,79,95,29,Medium Risk
14,22,98,34,54,24,95,9,3,91,53,50,81,Medium Risk
42,62,25,54,9,53,72,29,10,51,45,75,74,Medium Risk
28,14,7,91,46,27,100,17,25,36,21,74,42,High Risk
35,96,99,13,22,72,73,59,60,7,63,65,59,Medium Risk
12,24,93,9,84,55,83,87,36,43,7,64,39,High Risk
31,16,86,79,20,64,5,72,22,97,19,75,64,Medium Risk
70,96,41,15,12,92,62,94,92,4,50,96,28,Medium Risk
58,65,43,53,100,85,66,14,84,68,77,93,73,Medium Risk
85,77,13,94,32,79,10,3,90,30,38,65,91,Medium Risk
27,52,77,88,23,40,42,62,39,44,36,63,94,Medium Risk
65,50,1,76,10,50,16,39,76,8,49,78,18,High Risk
41,38,36,69,16,70,95,8,22,31,33,73,2,High Risk
44,50,68,43,67,77,3,8,15,32,74,96,35,Medium Risk
61,69,37,72,46,28,62,25,93,66,32,64,42,Medium Risk
56,5,40,44,24,82,67,3,60,29,30,68,14,High Risk
5,66,61,99,93,18,80,80,67,75,53,57,96,Medium Risk
27,6,59,55,72,65,40,15,79,28,43,83,40,Medium Risk
27,50,13,83,20,40,82,14,30,2,33,51,89,High Risk
43,71,88,81,83,44,4,98,52,89,70,76,79,Medium Risk
83,41,83,56,82,14,31,51,24,56,61,59,35,High Risk
29,63,1,20,82,2,85,68,43,29,22,84,96,Medium Risk
61,14,69,67,11,10,69,4,11,8,45,72,83,High Risk
74,28,16,49,36,52,34,19,89,25,55,98,76,Medium Risk
91,32,88,32,41,45,21,78,100,1,6,57,32,High Risk
88,93,27,90,16,29,64,17,96,61,88,77,4,Medium Risk
61,26,65,6,100,56,83,1,91,2,60,72,100,Medium Risk
96,35,34,69,47,17,21,92,8,45,2,53,77,High Risk
0,28,100,14,27,50,10,12,11,67,37,63,90,Medium Risk
26,37,4,81,40,47,76,3,68,24,83,91,86,Medium Risk
61,56,64,31,98,65,2,41,53,50,33,78,13,High Risk
76,96,39,74,46,95,8,73,53,12,43,50,67,Medium Risk
2,100,75,19,17,7,59,60,27,43,29,53,82,High Risk
69,26,55,87,77,21,75,94,55,34,16,81,46,Medium Risk
71,54,35,14,98,5,86,7,98,54,58,82,53,Medium Risk
26,32,44,47,70,75,13,66,68,86,9,98,3,Medium Risk
8,67,22,70,12,56,96,62,97,8,98,75,93,Medium Risk
61,85,46,20,81,35,17,8,97,1,83,66,82,Medium Risk
36,65,30,41,100,78,72,93,76,60,17,88,94,Medium Risk
96,9,10,25,12,91,22,10,57,40,44,72,94,Medium Risk
50,4,9,13,99,56,73,98,77,43,90,81,8,Medium Risk
43,73,66,56,30,48,82,100,74,63,58,64,52,Medium Risk
23,96,13,36,1,44,46,41,41,30,61,62,76,Medium Risk
78,37,79,57,15,81,68,12,37,46,58,51,77,Medium Risk
58,12,73,20,8,65,46,35,67,1,48,68,59,High Risk
31,30,92,81,72,76,86,12,52,95,99,73,45,Medium Risk
95,46,9,68,37,44,29,11,32,81,62,94,53,Medium Risk
87,99,75,2,74,78,24,36,70,76,86,73,73,Medium Risk
51,87,93,86,53,19,27,73,55,68,31,60,94,Medium Risk
61,51,0,89,55,63,97,72,71,57,9,71,36,Medium Risk
57,55,4,36,85,92,24,51,100,43,10,64,22,High Risk
51,14,19,87,96,92,73,70,50,73,69,59,26,Medium Risk
11,28,7,48,99,66,77,1,73,55,61,90,69,Medium Risk
38,7,42,18,86,82,57,55,42,42,46,76,89,Medium Risk
1,4,75,88,44,2,93,59,14,88,33,58,65,Medium Risk
2,28,0,84,33,53,40,22,37,33,99,77,60,Medium Risk
100,46,56,11,8,77,24,39,14,100,100,50,76,Medium Risk
55,67,63,60,87,63,77,63,4,29,16,66,50,High Risk
80,75,83,40,7,39,98,84,92,70,53,80,49,Medium Risk
58,44,27,32,6,58,47,22,82,69,75,93,18,Medium Risk
1,1,36,49,35,54,97,28,53,54,84,59,0,High Risk
1,26,46,67,17,61,9,77,50,66,39,86,39,Medium Risk
91,94,100,70,2,3,98,89,9,12,18,78,31,High Risk
53,35,75,85,27,59,74,50,11,2,66,67,21,High Risk
86,35,36,32,69,74,10,68,3,25,81,96,92,Medium Risk
100,25,48,80,43,94,84,94,94,56,52,87,65,Medium Risk
95,42,43,23,20,95,20,88,17,23,63,88,39,Medium Risk
96,26,55,60,27,90,85,30,79,52,82,98,37,Medium Risk
0,68,27,60,53,29,44,49,35,69,46,55,47,High Risk
18,19,78,97,53,1,6,19,24,42,5,89,54,High Risk
1,10,5,27,64,61,80,54,86,59,15,61,74,Medium Risk
52,73,60,57,99,48,63,80,75,57,71,63,80,Medium Risk
43,37,19,42,20,8,63,1,97,48,17,93,54,Medium Risk
89,5,77,40,98,91,1,24,35,41,51,59,50,High Risk
31,71,1,38,12,30,75,12,100,75,47,69,59,Medium Risk
69,22,72,85,56,97,41,91,66,99,42,64,7,Medium Risk
31,46,36,48,48,60,81,69,8,65,38,80,85,Medium Risk
67,89,19,16,53,78,53,66,60,10,48,56,67,Medium Risk
54,45,25,97,9,47,74,57,52,97,11,90,74,Medium Risk
74,11,28,69,52,24,15,98,17,89,9,59,71,Medium Risk
55,89,0,69,43,35,17,81,42,17,70,59,8,High Risk
16,12,34,97,46,7,98,74,34,84,54,97,89,Medium Risk
37,61,69,64,52,72,58,83,62,99,0,88,1,Medium Risk
23,81,100,73,73,57,89,63,97,51,48,77,79,Medium Risk
68,88,58,84,45,100,15,68,77,45,35,79,94,Medium Risk
97,96,68,4,12,44,5,82,3,43,20,86,69,Medium Risk
69,59,32,1,36,61,56,85,92,21,36,52,84,Medium Risk
85,42,50,21,23,38,46,58,40,52,23,99,89,Medium Risk
10,75,77,56,1,95,47,59,44,58,54,92,58,Medium Risk
15,99,11,65,85,57,41,82,49,93,24,64,18,Medium Risk
96,67,19,73,80,80,75,61,78,29,6,70,27,Medium Risk
72,4,52,97,99,98,59,15,27,7,80,86,71,Medium Risk
58,36,87,15,13,100,76,87,41,97,92,61,13,Medium Risk
69,71,42,50,9,82,3,67,79,56,93,53,23,Medium Risk
79,91,97,38,34,63,1,14,75,72,70,96,43,Medium Risk
92,30,88,85,24,43,89,88,68,19,96,58,100,Medium Risk
2,8,49,75,2,28,58,54,97,24,70,88,55,Medium Risk
19,50,28,87,16,58,26,34,0,18,23,91,89,Medium Risk
58,28,56,39,11,70,26,54,38,4,10,77,94,Medium Risk
35,77,38,37,53,91,78,13,95,74,72,72,50,Medium Risk
18,39,94,59,23,8,71,48,89,78,11,94,31,Medium Risk
89,40,55,58,28,91,6,82,16,71,34,89,49,Medium Risk
66,85,42,9,42,5,62,99,90,82,62,93,40,Medium Risk
18,10,49,98,24,28,45,6,87,86,67,71,65,Medium Risk
19,22,22,63,99,57,62,29,34,26,99,73,24,High Risk
95,0,43,62,59,16,11,82,45,39,91,100,60,Medium Risk
70,45,37,48,89,15,12,48,41,95,56,75,65,Medium Risk
51,100,83,63,64,86,42,88,38,25,12,79,41,Medium Risk
32,20,22,31,83,94,16,15,89,26,22,82,64,Medium Risk
39,89,44,6,27,2,62,50,48,61,82,65,35,Medium Risk
38,35,51,20,15,20,80,71,61,82,100,71,75,Medium Risk
81,53,79,19,46,63,35,81,37,49,38,98,8,Medium Risk
0,86,49,25,80,89,84,91,22,41,87,99,35,Medium Risk
10,56,7,67,91,35,7,79,21,28,79,92,91,Medium Risk
91,0,84,85,57,100,68,82,3,38,96,67,37,Medium Risk
56,62,0,14,75,85,89,41,48,59,11,56,32,High Risk
88,53,7,84,26,61,79,16,58,40,33,99,41,Medium Risk
49,54,28,78,52,41,35,62,72,32,70,75,60,Medium Risk
22,39,95,85,41,75,27,44,67,82,74,57,45,Medium Risk
30,14,4,91,58,41,92,76,70,100,30,55,85,Medium Risk
93,20,85,13,46,60,46,6,86,82,92,79,88,Medium Risk
41,46,46,26,93,12,75,26,1,96,61,88,60,Medium Risk
98,72,33,39,33,10,100,9,48,15,12,72,17,High Risk
6,52,64,57,36,53,29,33,87,22,30,81,69,Medium Risk
15,8,54,27,5,15,22,35,94,6,1,71,81,High Risk
89,73,89,25,6,7,15,24,30,25,14,91,79,Medium Risk
59,51,42,62,95,58,13,5,39,95,56,92,14,Medium Risk
1,56,73,65,95,56,73,23,47,11,74,94,47,Medium Risk
0,25,29,24,24,39,70,17,50,71,33,58,71,Medium Risk
47,40,81,2,32,58,51,86,42,4,67,80,12,High Risk
11,34,16,71,54,1,36,5,97,91,74,56,42,Medium Risk
68,62,25,43,57,93,28,28,54,68,28,58,59,Medium Risk
36,24,7,96,6,93,66,24,87,48,65,62,56,Medium Risk
31,89,46,41,56,75,14,54,48,25,15,52,70,High Risk
8,74,75,98,11,9,99,80,89,4,38,84,16,Medium Risk
98,37,90,5,15,43,46,45,79,21,76,82,49,Medium Risk
18,1,71,38,79,10,45,23,56,78,36,70,31,High Risk
47,6,88,51,42,78,51,74,76,12,80,80,21,Medium Risk
79,81,45,22,99,79,18,25,14,27,20,83,54,High Risk
2,90,67,88,76,80,76,97,26,32,43,81,56,Medium Risk
19,33,32,49,6,89,20,27,67,22,18,84,12,High Risk
23,90,0,42,99,1,63,2,79,96,70,64,46,Medium Risk
53,16,18,18,50,49,36,74,63,17,7,81,86,Medium Risk
32,42,30,68,72,11,26,37,93,29,76,55,61,Medium Risk
23,58,79,50,31,89,54,60,29,25,100,94,53,Medium Risk
74,50,13,10,74,22,28,77,35,15,65,70,28,High Risk
71,53,52,11,7,17,19,50,66,76,40,82,21,High Risk
35,23,47,73,96,61,24,89,85,38,74,81,64,Medium Risk
37,24,68,7,86,95,69,47,85,32,87,68,28,Medium Risk
83,70,89,23,88,61,62,20,48,25,69,82,47,Medium Risk
98,51,61,91,71,37,35,53,75,47,60,77,4,Medium Risk
88,69,91,40,44,66,1,55,54,64,25,80,34,Medium Risk
98,87,65,35,85,37,21,93,84,37,70,70,73,Medium Risk
24,32,63,100,58,66,95,58,55,1,82,83,82,Medium Risk
92,48,69,84,3,93,15,71,67,5,69,64,100,Medium Risk
17,28,62,71,66,60,17,50,94,45,28,63,70,Medium Risk
81,62,72,54,28,0,68,19,43,49,65,68,45,Medium Risk
65,21,32,8,28,93,53,95,30,37,18,92,34,Medium Risk
53,25,40,46,97,44,99,85,57,87,67,64,44,Medium Risk
34,27,88,14,97,95,29,58,86,17,57,55,12,High Risk
79,84,47,47,27,27,44,70,52,26,69,58,9,High Risk
60,48,12,81,76,20,18,8,83,40,56,86,65,Medium Risk
40,70,72,41,78,12,86,0,78,71,36,69,69,Medium Risk
99,80,76,59,86,26,33,28,22,91,60,83,71,Medium Risk
32,83,30,83,43,99,12,62,27,73,91,87,99,Medium Risk
67,48,74,69,89,6,42,71,15,16,29,75,24,High Risk
32,19,67,11,3,21,61,55,36,61,70,67,43,High Risk
13,85,97,1,89,73,92,67,20,28,72,77,59,Medium Risk
20,91,3,6,8,52,99,34,78,57,24,100,46,Medium Risk
47,62,18,79,4,78,21,2,16,69,96,58,39,High Risk
19,60,69,2,55,78,51,6,36,77,64,81,6,High Risk
7,48,97,2,95,3,51,26,76,21,5,55,45,High Risk
6,70,81,26,83,95,35,0,18,5,17,63,22,High Risk
66,0,12,39,49,22,72,90,29,25,9,77,82,Medium Risk
16,95,22,32,74,69,18,79,44,38,91,73,45,Medium Risk
32,12,82,91,14,87,37,70,17,11,10,62,85,High Risk
47,93,74,0,31,83,69,43,77,98,96,92,12,Medium Risk
75,86,0,7,27,100,78,86,61,13,64,61,20,High Risk
58,50,87,100,21,83,56,40,35,21,76,100,0,Medium Risk
85,55,53,31,16,75,19,74,99,50,100,68,18,Medium Risk
21,82,70,47,58,32,8,41,83,22,83,70,59,Medium Risk
29,61,88,100,89,27,31,32,51,47,64,76,32,Medium Risk
37,31,84,3,70,7,3,49,18,70,51,68,3,High Risk
50,29,14,93,56,0,49,62,43,49,66,73,2,High Risk
53,28,64,69,25,36,81,99,6,88,81,75,90,Medium Risk
7,48,75,18,24,62,4,36,43,12,77,94,51,Medium Risk
26,44,70,31,9,21,19,58,67,84,30,77,98,Medium Risk
26,92,14,8,44,69,86,80,33,9,90,95,27,Medium Risk
97,29,20,11,82,20,74,98,65,54,16,67,69,Medium Risk
20,15,18,10,10,95,36,47,68,8,54,93,69,Medium Risk
29,39,59,45,76,34,21,4,54,78,92,85,54,Medium Risk
96,18,92,15,52,78,57,47,9,51,35,91,56,Medium Risk
27,17,88,0,71,4,67,95,95,1,100,78,86,Medium Risk
63,0,32,62,67,59,92,2,41,24,25,66,96,Medium Risk
96,77,48,20,94,45,43,46,40,12,52,53,15,High Risk
68,46,95,29,27,49,33,61,76,97,16,93,23,Medium Risk
60,65,34,12,74,47,76,98,68,50,85,94,68,Medium Risk
47,91,43,33,64,5,41,13,9,57,24,78,40,High Risk
18,93,89,3,48,88,8,62,9,33,1,53,76,High Risk
3,37,10,27,46,55,94,60,90,34,85,59,46,Medium Risk
34,50,98,94,51,58,6,30,59,2,4,74,75,Medium Risk
63,62,71,58,87,28,67,94,50,58,3,80,68,Medium Risk
48,3,77,26,53,70,18,16,20,69,35,52,100,Medium Risk
16,0,73,68,59,76,93,23,7,47,5,96,30,High Risk
43,7,65,24,56,17,30,22,64,63,20,51,91,Medium Risk
91,28,45,2,46,1,34,81,91,18,76,74,91,Medium Risk
29,54,8,96,30,7,56,49,77,66,100,98,29,Medium Risk
92,2,2,67,45,74,84,77,84,81,88,55,17,Medium Risk
45,31,84,24,25,96,60,78,29,72,25,75,43,Medium Risk
5,9,25,19,4,53,30,78,84,75,54,57,26,High Risk
98,73,71,33,83,37,82,69,48,4,38,84,98,Medium Risk
36,82,47,25,51,47,94,26,8,66,83,76,25,Medium Risk
23,33,65,4,74,26,52,14,16,10,32,74,59,High Risk
92,96,69,98,53,19,31,49,68,93,13,67,17,Medium Risk
45,86,27,60,32,11,65,35,57,67,55,50,96,Medium Risk
52,54,92,91,49,42,58,7,56,68,99,97,88,Medium Risk
94,91,25,92,37,60,9,78,61,0,80,88,55,Medium Risk
98,31,24,8,26,30,1,2,94,90,20,52,30,High Risk
59,49,11,49,97,90,65,61,51,91,45,53,100,Medium Risk
96,6,4,5,14,95,59,46,60,62,15,90,58,Medium Risk
62,92,97,82,95,60,87,76,39,28,15,86,1,High Risk
84,7,47,59,60,73,16,97,37,81,83,100,96,Low Risk
31,64,36,43,20,66,95,87,42,11,28,64,38,High Risk
86,56,78,10,45,90,15,95,62,76,91,57,60,Medium Risk
32,66,43,65,68,34,15,60,18,40,7,87,62,High Risk
66,87,99,46,5,94,45,31,99,1,87,99,95,Low Risk
17,86,14,72,37,14,38,93,49,36,2,68,17,High Risk
24,58,42,84,61,15,30,12,32,44,88,96,16,High Risk
94,71,47,87,85,12,87,0,12,79,18,75,97,Medium Risk
53,53,86,97,61,34,0,33,77,47,96,88,38,Medium Risk
57,100,69,85,81,74,10,61,96,23,65,59,70,Medium Risk
66,66,45,2,77,58,84,78,61,98,78,87,53,Medium Risk
45,50,42,75,73,20,3,77,92,21,85,63,98,Medium Risk
23,96,20,91,45,53,70,92,42,99,73,98,93,Low Risk
31,91,22,29,12,74,25,97,48,10,81,90,75,Medium Risk
46,7,79,89,94,29,49,81,35,57,21,68,34,High Risk
85,33,46,20,93,47,11,70,9,45,45,79,10,High Risk
22,34,14,27,2,34,94,92,94,28,90,54,60,Medium Risk
65,95,24,89,93,85,80,30,5,34,12,80,43,Medium Risk
26,87,35,61,5,37,96,63,56,14,32,56,67,Medium Risk
1,77,74,32,92,30,74,24,0,59,4,68,24,High Risk
89,31,50,84,7,77,91,37,70,94,89,80,47,Medium Risk
16,45,14,34,43,23,95,13,57,41,76,88,31,Medium Risk
32,15,67,51,32,48,64,7,90,42,26,73,83,Medium Risk
8,67,20,33,80,95,46,90,20,79,77,83,94,Medium Risk
42,36,12,40,74,99,91,53,91,73,23,72,3,Medium Risk
47,53,85,50,76,31,52,1,79,48,66,97,37,Medium Risk
38,84,18,46,49,54,70,80,55,63,62,94,62,Medium Risk
92,13,33,81,10,78,1,100,86,31,93,89,46,Medium Risk
41,94,77,57,94,57,23,77,19,63,98,55,0,High Risk
25,54,67,74,27,98,3,88,53,1,47,87,2,High Risk
98,47,51,56,69,2,18,55,24,23,62,90,100,Medium Risk
49,81,26,22,40,79,25,93,27,86,77,85,85,Medium Risk
24,6,28,47,15,68,74,92,4,65,11,76,61,Medium Risk
23,73,27,21,67,84,39,83,20,37,27,60,63,High Risk
12,6,34,16,98,9,49,84,17,30,43,54,16,High Risk
59,32,7,68,47,82,42,60,46,25,92,66,77,Medium Risk
6,22,15,10,55,24,74,21,69,28,42,56,61,High Risk
56,84,35,93,63,67,66,34,56,66,16,76,34,Medium Risk
